<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	2064.593	2066.092	2062.643	2063.543	1996	0	377
2024.01.02	00:00:00	2063.347	2065.762	2062.175	2065.340	2816	0	368
2024.01.02	01:00:00	2065.341	2069.900	2064.870	2066.536	4584	0	199
2024.01.02	02:00:00	2066.512	2068.267	2063.891	2067.669	3150	0	367
2024.01.02	03:00:00	2067.693	2070.338	2066.422	2069.487	2756	0	368
2024.01.02	04:00:00	2069.492	2070.666	2068.823	2069.500	2450	0	368
2024.01.02	05:00:00	2069.567	2074.800	2069.370	2074.310	3108	0	368
2024.01.02	06:00:00	2074.307	2076.639	2072.839	2074.144	3294	0	368
2024.01.02	07:00:00	2074.077	2076.358	2073.065	2073.065	3580	0	368
2024.01.02	08:00:00	2073.130	2074.405	2071.700	2073.216	3599	0	368
2024.01.02	09:00:00	2073.276	2078.877	2073.184	2077.032	3514	0	200
2024.01.02	10:00:00	2077.048	2077.753	2073.450	2075.949	4146	0	199
2024.01.02	11:00:00	2075.935	2076.177	2068.247	2069.221	5319	0	199
2024.01.02	12:00:00	2069.179	2069.498	2065.016	2067.869	5206	0	199
2024.01.02	13:00:00	2067.829	2071.018	2064.817	2066.272	7263	0	199
2024.01.02	14:00:00	2066.312	2070.393	2062.136	2070.325	8915	0	199
2024.01.02	15:00:00	2070.366	2070.709	2056.097	2059.305	11530	0	199
2024.01.02	16:00:00	2059.336	2067.595	2059.091	2066.092	6588	0	199
2024.01.02	17:00:00	2066.040	2066.909	2061.791	2062.681	4603	0	199
2024.01.02	18:00:00	2062.724	2064.920	2060.514	2061.164	4005	0	199
2024.01.02	19:00:00	2061.158	2062.175	2060.370	2060.946	3409	0	199
2024.01.02	20:00:00	2060.990	2061.577	2057.837	2058.143	3495	0	199
2024.01.02	21:00:00	2058.150	2059.231	2057.993	2058.855	2093	0	199
2024.01.02	23:00:00	2058.797	2059.874	2058.408	2059.476	1874	0	599
2024.01.03	00:00:00	2059.448	2062.127	2059.227	2060.197	3373	0	199
2024.01.03	01:00:00	2060.185	2062.553	2059.448	2062.379	4212	0	199
2024.01.03	02:00:00	2062.410	2065.172	2061.598	2064.696	3858	0	199
2024.01.03	03:00:00	2064.701	2065.541	2063.255	2065.072	3091	0	199
2024.01.03	04:00:00	2065.023	2065.521	2064.352	2064.764	2458	0	199
2024.01.03	05:00:00	2064.762	2065.982	2063.430	2064.061	3253	0	199
2024.01.03	06:00:00	2064.024	2065.373	2063.375	2064.300	3491	0	200
2024.01.03	07:00:00	2064.268	2064.320	2060.827	2062.915	4263	0	200
2024.01.03	08:00:00	2062.910	2064.376	2058.848	2060.083	4916	0	199
2024.01.03	09:00:00	2060.050	2060.576	2054.243	2056.796	4861	0	199
2024.01.03	10:00:00	2056.744	2057.157	2052.648	2054.849	4389	0	199
2024.01.03	11:00:00	2054.850	2055.634	2046.614	2047.617	5231	0	199
2024.01.03	12:00:00	2047.648	2048.369	2041.737	2045.712	7198	0	199
2024.01.03	13:00:00	2045.749	2047.987	2038.640	2040.974	8273	0	199
2024.01.03	14:00:00	2041.027	2042.294	2031.752	2037.822	9389	0	199
2024.01.03	15:00:00	2037.770	2048.767	2031.782	2032.552	12415	0	199
2024.01.03	16:00:00	2032.601	2036.051	2031.250	2032.375	7575	0	199
2024.01.03	17:00:00	2032.423	2033.779	2030.541	2033.303	5311	0	199
2024.01.03	18:00:00	2033.311	2036.331	2032.857	2035.754	4375	0	199
2024.01.03	19:00:00	2035.765	2042.278	2030.522	2036.620	8575	0	199
2024.01.03	20:00:00	2036.583	2042.309	2036.405	2040.956	5632	0	199
2024.01.03	21:00:00	2040.996	2041.809	2040.222	2041.175	2553	0	199
