<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	2064.593	2066.092	2063.301	2065.142	352	0	1124
2024.01.01	23:15:00	2065.159	2065.900	2064.443	2064.698	533	0	377
2024.01.01	23:30:00	2064.664	2065.131	2063.634	2064.258	588	0	1113
2024.01.01	23:45:00	2064.259	2064.259	2062.643	2063.543	523	0	1111
2024.01.02	00:00:00	2063.347	2064.932	2063.331	2064.006	721	0	371
2024.01.02	00:15:00	2064.015	2064.393	2062.175	2063.323	759	0	368
2024.01.02	00:30:00	2063.323	2064.559	2062.831	2064.559	607	0	369
2024.01.02	00:45:00	2064.588	2065.762	2064.322	2065.340	729	0	368
2024.01.02	01:00:00	2065.341	2069.627	2064.870	2069.206	1686	0	200
2024.01.02	01:15:00	2069.248	2069.900	2067.144	2068.403	1243	0	199
2024.01.02	01:30:00	2068.308	2068.462	2066.869	2068.094	885	0	369
2024.01.02	01:45:00	2068.081	2068.951	2066.290	2066.536	770	0	369
2024.01.02	02:00:00	2066.512	2066.749	2063.891	2064.607	820	0	368
2024.01.02	02:15:00	2064.619	2066.983	2064.560	2066.596	762	0	369
2024.01.02	02:30:00	2066.597	2068.247	2065.657	2067.342	843	0	369
2024.01.02	02:45:00	2067.307	2068.267	2067.207	2067.669	725	0	367
2024.01.02	03:00:00	2067.693	2069.394	2066.422	2068.867	776	0	368
2024.01.02	03:15:00	2068.934	2069.863	2068.934	2069.631	729	0	368
2024.01.02	03:30:00	2069.589	2069.854	2069.295	2069.767	598	0	369
2024.01.02	03:45:00	2069.688	2070.338	2068.541	2069.487	653	0	368
2024.01.02	04:00:00	2069.492	2070.447	2069.117	2070.335	598	0	368
2024.01.02	04:15:00	2070.425	2070.666	2068.830	2069.339	623	0	369
2024.01.02	04:30:00	2069.342	2070.346	2069.342	2069.818	580	0	368
2024.01.02	04:45:00	2069.851	2070.108	2068.823	2069.500	649	0	368
2024.01.02	05:00:00	2069.567	2071.604	2069.370	2071.476	708	0	368
2024.01.02	05:15:00	2071.469	2071.832	2070.682	2071.357	701	0	368
2024.01.02	05:30:00	2071.353	2072.093	2070.682	2072.003	782	0	369
2024.01.02	05:45:00	2072.015	2074.800	2071.774	2074.310	917	0	369
2024.01.02	06:00:00	2074.307	2074.847	2072.839	2074.625	833	0	369
2024.01.02	06:15:00	2074.538	2076.639	2074.103	2075.661	820	0	370
2024.01.02	06:30:00	2075.742	2076.466	2074.654	2074.901	879	0	370
2024.01.02	06:45:00	2074.965	2075.120	2073.760	2074.144	762	0	368
2024.01.02	07:00:00	2074.077	2075.659	2073.231	2075.272	893	0	369
2024.01.02	07:15:00	2075.245	2076.358	2074.402	2075.115	969	0	369
2024.01.02	07:30:00	2075.123	2075.655	2074.565	2075.074	827	0	368
2024.01.02	07:45:00	2075.086	2075.406	2073.065	2073.065	891	0	369
2024.01.02	08:00:00	2073.130	2074.405	2072.216	2073.947	966	0	368
2024.01.02	08:15:00	2074.025	2074.062	2072.180	2072.588	866	0	368
2024.01.02	08:30:00	2072.588	2074.308	2071.700	2073.753	951	0	368
2024.01.02	08:45:00	2073.848	2073.874	2072.324	2073.216	816	0	369
2024.01.02	09:00:00	2073.276	2075.478	2073.184	2074.404	836	0	368
2024.01.02	09:15:00	2074.397	2075.471	2073.921	2074.596	845	0	221
2024.01.02	09:30:00	2074.540	2078.877	2074.540	2078.255	899	0	221
2024.01.02	09:45:00	2078.258	2078.813	2076.772	2077.032	934	0	200
2024.01.02	10:00:00	2077.048	2077.753	2074.483	2074.966	1050	0	199
2024.01.02	10:15:00	2074.919	2075.344	2073.450	2074.646	1077	0	200
2024.01.02	10:30:00	2074.607	2076.084	2074.331	2075.607	1013	0	199
2024.01.02	10:45:00	2075.604	2076.574	2075.337	2075.949	1006	0	200
2024.01.02	11:00:00	2075.935	2076.177	2073.815	2073.998	1045	0	199
2024.01.02	11:15:00	2073.997	2075.863	2072.803	2074.978	1291	0	199
2024.01.02	11:30:00	2074.997	2074.997	2068.357	2068.830	1677	0	199
2024.01.02	11:45:00	2068.799	2070.310	2068.247	2069.221	1306	0	199
2024.01.02	12:00:00	2069.179	2069.498	2066.245	2066.740	1441	0	199
2024.01.02	12:15:00	2066.749	2067.110	2065.016	2066.000	1373	0	199
2024.01.02	12:30:00	2065.979	2068.313	2065.556	2067.217	1259	0	199
2024.01.02	12:45:00	2067.174	2068.082	2066.635	2067.869	1133	0	199
2024.01.02	13:00:00	2067.829	2068.735	2064.817	2065.587	1704	0	199
2024.01.02	13:15:00	2065.619	2068.767	2065.358	2067.075	1794	0	199
2024.01.02	13:30:00	2067.092	2071.018	2066.942	2069.712	1993	0	199
2024.01.02	13:45:00	2069.742	2069.795	2064.824	2066.272	1772	0	199
2024.01.02	14:00:00	2066.312	2067.264	2064.834	2065.269	1655	0	199
2024.01.02	14:15:00	2065.233	2067.884	2064.550	2065.910	1544	0	199
2024.01.02	14:30:00	2065.875	2070.016	2062.136	2065.763	2930	0	199
2024.01.02	14:45:00	2065.793	2070.393	2065.793	2070.325	2786	0	199
2024.01.02	15:00:00	2070.366	2070.709	2066.460	2067.243	2409	0	200
2024.01.02	15:15:00	2067.281	2067.839	2063.972	2064.807	2180	0	199
2024.01.02	15:30:00	2064.776	2065.254	2056.097	2058.786	4674	0	199
